recovery_query,ori_err_cof,query_with_vote,err_cof
1317,119,14608,1
1289,114,14333,1
1276,112,14443,1
1284,107,14256,0
1303,118,14575,0
1292,108,14355,0
1307,118,14542,0
1307,127,14674,0
1306,123,14597,1
1313,113,14509,1
1291,126,14520,1
1302,121,14300,0
1274,125,14289,1
1276,126,14476,1
1274,126,14190,1
1296,109,14465,2
1282,132,14366,1
1301,112,14289,0
1259,123,14256,0
1286,142,14377,0
1299,97,14465,1
1303,111,14355,0
1283,143,14586,0
1299,121,14344,1
1296,111,14388,0
1305,117,14476,2
1291,108,14366,0
1280,121,14135,0
1285,109,14443,0
1273,128,14256,0
1280,120,14465,1
1299,112,14597,0
1281,117,14267,0
1313,125,14608,1
1281,121,14256,0
1281,107,14124,1
1324,116,14762,0
1273,126,14267,0
1276,142,14355,0
1294,103,14366,0
1295,110,14366,0
1312,123,14718,0
1286,108,14278,0
1293,128,14575,0
1314,152,14696,1
1294,132,14575,0
1275,114,14454,1
1298,121,14377,0
1296,119,14377,2
1275,122,14366,0
1286,117,14300,0
1317,111,14718,1
1293,114,14410,0
1269,126,14267,0
1309,128,14597,1
1301,130,14366,0
1309,114,14641,1
1280,125,14454,0
1271,118,14333,0
1293,128,14773,0
1285,126,14190,0
1291,116,14575,0
1290,125,14531,1
1294,122,14476,0
1279,130,14256,1
1287,113,14509,0
1300,110,14300,0
1284,132,14322,1
1290,113,14322,1
1303,120,14509,0
1311,106,14729,0
1279,111,14047,0
1286,131,14289,0
1286,109,14432,0
1282,122,14377,0
1295,126,14256,0
1304,114,14531,0
1305,125,14509,0
1283,107,14564,1
1301,119,14377,0
1301,117,14377,0
1317,119,14300,0
1298,124,14509,0
1280,112,14267,1
1284,137,14377,1
1294,126,14366,2
1302,122,14520,0
1295,116,14267,1
1295,130,14498,1
1312,120,14575,0
1298,133,14432,1
1264,121,14113,1
1318,130,14542,0
1290,118,14366,0
1293,108,14465,0
1294,114,14509,0
1299,111,14289,1
1282,126,14146,2
1289,121,14300,0
1285,124,14300,0
1271,116,14124,0
1258,126,14377,0
1302,121,14355,0
1302,132,14564,0
1301,122,14564,0
1304,112,14366,0
1275,127,14311,0
1285,128,14146,1
1298,110,14553,0
1310,118,14630,0
1278,123,14344,1
1311,135,14498,0
1294,132,14377,0
1316,115,14520,0
1274,105,14047,0
1284,117,14509,0
1308,108,14597,0
1259,106,14102,0
1293,118,14344,0
1275,113,14311,1
1293,114,14531,0
1291,133,14344,0
1293,115,14410,0
1294,136,14443,0
1302,127,14630,0
1283,130,14267,3
1282,109,14366,1
1265,127,14146,1
1314,129,14883,0
1305,119,14476,0
1300,139,14234,1
1298,132,14696,0
1289,96,14399,1
1285,101,14289,0
1315,120,14905,0
1307,125,14564,0
1299,111,14454,0
1299,111,14586,1
1318,119,14707,0
1274,112,14278,0
1284,115,14322,0
1252,112,14003,0
1251,112,13937,0
1307,130,14586,0
1279,121,14333,0
1315,131,14564,2
1287,118,14223,1
1309,115,14454,1
1292,120,14652,0
1294,104,14355,0
1284,119,14344,1
1289,127,14432,0
1270,123,14333,0
1292,118,14520,0
1283,125,14223,0
1293,111,14344,0
1306,116,14531,0
1296,133,14410,0
1309,117,14454,0
1276,124,14366,0
1304,152,14619,0
1268,126,14080,0
1315,139,14608,0
1277,132,14454,1
1279,119,14333,1
1290,133,14531,0
1291,122,14377,0
1300,112,14509,0
1313,135,14498,0
1300,111,14311,1
1285,114,14476,0
1299,111,14553,0
1284,135,14278,0
1303,118,14597,0
1304,116,14586,1
1270,124,14014,0
1296,120,14388,0
1289,117,14311,0
1310,122,14531,0
1265,106,14256,0
1305,121,14487,1
1284,90,14256,0
1316,133,14520,0
1273,126,14311,0
1277,98,14212,1
1262,101,14113,0
1301,127,14531,0
1316,112,14641,0
1297,123,14531,0
1307,120,14509,0
1280,121,14311,0
1272,121,14355,1
1306,131,14575,0
1309,139,14630,0
1283,119,14289,0
1298,123,14267,0
1280,111,14124,1
1297,107,14432,0
1298,121,14311,0
1324,118,14806,0
1299,124,14487,0
1291,121,14498,0
1295,106,14421,0
1284,124,14564,0
1312,125,14553,1
1291,132,14520,0
1305,133,14344,1
1268,120,14223,0
1287,110,14421,0
1302,111,14487,1
1276,123,14201,0
1292,118,14300,0
1288,125,14366,2
1278,121,14355,1
1295,122,14344,0
1323,123,14476,1
1293,123,14410,0
1325,136,14575,0
1305,132,14487,0
1297,113,14344,0
1274,117,14289,1
1315,112,14586,1
1323,120,14597,1
1290,120,14454,0
1288,118,14531,0
1299,117,14322,0
1278,133,14377,0
1274,125,14322,2
1271,110,14366,0
1308,118,14344,1
1288,121,14322,0
1287,131,14333,0
1289,136,14399,1
1283,128,14311,1
1313,122,14608,0
1292,111,14366,0
1286,111,14113,0
1304,131,14751,0
1274,111,14256,0
1297,123,14289,0
1295,126,14487,1
1272,112,14223,0
1310,118,14542,0
1295,112,14663,1
1299,134,14465,1
1275,97,14146,0
1275,130,14377,0
1302,107,14575,1
1256,104,14113,0
1290,125,14509,0
1272,113,14069,0
1321,110,14674,0
1285,135,14190,0
1297,122,14531,0
1290,133,14432,0
1301,114,14641,0
1306,106,14498,0
1308,125,14476,0
1316,139,14553,0
1308,122,14553,0
1316,90,14784,2
1299,126,14531,1
1284,128,14179,0
1306,120,14388,0
1285,117,14388,0
1280,119,14245,0
1326,121,14487,0
1296,113,14443,0
1310,110,14443,0
1299,113,14344,0
1328,117,14619,0
1281,110,14179,0
1303,126,14586,0
1288,141,14465,1
1301,120,14366,0
1268,112,14179,1
1296,133,14465,0
1323,128,14520,0
1309,119,14564,0
1257,117,14102,0
